condition,diagonal_fraction,seed,train_size,fit_transition_count,model,parameter_count,q_bin_coverage,observed_joint_action_count,best_epoch,validation_mse,positive_axis_nmse,negative_axis_nmse,positive_joint_nmse,negative_joint_nmse,mixed_joint_nmse,negative_axis_control_error,negative_axis_control_success,negative_axis_action_error,positive_joint_control_error,positive_joint_control_success,positive_joint_action_error,mixed_joint_control_error,mixed_joint_control_success,mixed_joint_action_error
axis_only,0.0,1,200,160,corrected,5780,0.3958333333333333,0,899,2.881056843762053e-06,0.00031017771107144654,0.010833834297955036,0.002033085096627474,0.012377350591123104,0.009832150302827358,0.012444948858804613,0.8125,0.011268282508050712,0.008655120155405408,1.0,0.009254253461485432,0.01017533285994432,0.9296875,0.009572758448180193
axis_only,0.0,1,500,400,free,4868,0.7291666666666666,0,899,3.505882887111511e-06,0.0004289687785785645,0.02874445542693138,0.0020904727280139923,0.033145345747470856,0.014155161567032337,0.01379414888227378,0.7786458333333334,0.015669348899488494,0.008645917538766904,0.9947916666666666,0.00979550859169478,0.009957099062982403,0.9401041666666666,0.010444679815007768
axis_only,0.0,1,500,400,first_order,5000,0.7291666666666666,0,899,3.277638143117656e-06,0.0003991785633843392,0.02597658336162567,0.0013724747113883495,0.03150529786944389,0.009954329580068588,0.013345581746155707,0.7994791666666666,0.01700605637112555,0.008093991442971552,1.0,0.009142858788541831,0.008889793746978588,1.0,0.009799236716828814
axis_only,0.0,1,500,400,corrected,5780,0.7291666666666666,0,899,1.330987288383767e-06,0.00014569846098311245,0.005365512799471617,0.0018203376093879342,0.008777112700045109,0.006112801842391491,0.00902447292476912,0.8984375,0.008047909815407669,0.007944608808126455,1.0,0.009362751223413863,0.00830191334777434,0.984375,0.008084137133993514
axis_only,0.0,1,1000,800,free,4868,0.9305555555555556,0,840,2.9026589345448883e-06,0.00043236970668658614,0.029192384332418442,0.0019871878903359175,0.03595832735300064,0.011699632741510868,0.013453279002836402,0.78125,0.01634204621708098,0.008313431341472702,1.0,0.009790366001364023,0.009543828835982518,0.9635416666666666,0.01014115853667071
axis_only,0.0,1,1000,800,first_order,5000,0.9305555555555556,0,899,2.7113233045383822e-06,0.00038873287849128246,0.026155870407819748,0.0013837645528838038,0.03198789805173874,0.009825116023421288,0.013227047685480406,0.8072916666666666,0.016461614790993433,0.008235515929603329,1.0,0.009271061392542778,0.008975936360608708,1.0,0.009854030061837037
axis_only,0.0,1,1000,800,corrected,5780,0.9305555555555556,0,899,1.004185378405964e-06,0.0001222043065354228,0.004335856065154076,0.0018044052412733436,0.009029961191117764,0.004846999887377024,0.0064559862500270055,0.9479166666666666,0.006044893433378699,0.008204512526087152,1.0,0.009473817301487131,0.00789500371562705,0.9869791666666666,0.007945016170350446
axis_only,0.0,1,2000,1600,free,4868,0.9791666666666666,0,899,2.6852681003219914e-06,0.0004219119728077203,0.029516877606511116,0.001923244446516037,0.03924209997057915,0.009767018258571625,0.016620339131501776,0.6640625,0.01974628681637114,0.008286554169899318,1.0,0.009518327175525742,0.009603081462652577,0.9921875,0.009845464893014461
axis_only,0.0,1,2000,1600,first_order,5000,0.9791666666666666,0,899,2.6237646579829743e-06,0.0003852725203614682,0.02587992511689663,0.001448234193958342,0.031460266560316086,0.009952865540981293,0.013559944717295972,0.7916666666666666,0.01698527254241829,0.008143117631940791,1.0,0.009094666136737168,0.008935740940311613,1.0,0.009697200985374665
axis_only,0.0,1,2000,1600,corrected,5780,0.9791666666666666,0,899,5.998955998620659e-07,7.414186256937683e-05,0.0021266599651426077,0.0019779670983552933,0.00565569382160902,0.005598977208137512,0.0052800434301995365,1.0,0.004636496429156978,0.008227182743818654,1.0,0.009260285888410559,0.008050893072019486,1.0,0.008200382370596877
